cust,segment,vertical,sub_vertical,country,bookings,purchase
f364f847476497d87d928545b0c9e029,Commercial,Professional Services,Construction/Engineering,CANADA,25420,FALSE
4635e0b7457e8d07bed829d4754b3cd7,Commercial,Professional Services,Construction/Engineering,UNITED STATES,14875,TRUE
07ab86e956b94812a53b837c53a778fe,Commercial,Professional Services,Construction/Engineering,JAPAN,5051,FALSE
585b69bc9e46c79022e9199a16f0d80f,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,116258,FALSE
b0d450b7973d4de42d718c32972c4db9,Commercial,Professional Services,Consulting Non-Technical,FRANCE,1759,TRUE
f62a0b2707c8d3c6c0a731a1a01d7f71,Commercial,Professional Services,Membership organizations,UNITED STATES,43827,FALSE
a735d911ec496f4a02f78eb4fead8706,Commercial,Government,Federal/Central Government,UNITED KINGDOM,77304,FALSE
3b15e7f080f0e2deeb4ea837eeb0fe1e,Enterprise,Government,Federal/Central Government,CHINA,2275,FALSE
39f02af913ccf8b1caecec59baf4ae8c,Enterprise,Technical Services,Other (Technical Services),UNITED KINGDOM,7099,FALSE
329ba6da36f4157fe61b9a7e46e09892,Commercial,Technical Services,Other (Technical Services),USA,17130,FALSE
59102d52b402461d527393472ae15aa0,Enterprise,Technical Services,Other (Technical Services),UNITED KINGDOM,1751844,FALSE
3cc1271992061dfd6b99a3f25c2755b2,Commercial,Technical Services,Other (Technical Services),UNITED STATES,11820,FALSE
06d9d58f1f37292ecc481b1254a82dbe,Commercial,Technical Services,Other (Technical Services),INDIA,38427,TRUE
c1ed742691b8303745f88dbeab9bf3d9,Commercial,Technical Services,Other (Technical Services),UNITED KINGDOM,75538,FALSE
ccd0c11463af0f30c141d679d6a4dd27,Commercial,Technical Services,Other (Technical Services),FRANCE,193483,FALSE
e729061f09f3479a7b37a2364b7c53ee,Commercial,Technical Services,Other (Technical Services),UNITED STATES,107657,TRUE
fc4f4002ac67f01e317441a80c9477ef,Commercial,Professional Services,Other (Professional Services),UNITED STATES,63447,TRUE
96b71997b206990832d9be0c1a57c2b0,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,4863,FALSE
ffbb12ab105f17fd60b47872865881e3,Commercial,Professional Services,Other (Professional Services),UNITED STATES,9746,FALSE
67cbe7c09cbfbb1e19af31d2595fd09b,Commercial,Professional Services,Other (Professional Services),UNITED KINGDOM,84169,FALSE
ea3f4487af5d87ad77caed7a2366a975,Enterprise,Manufacturing,Consumer Products Manufacturing,UNITED STATES,73770,FALSE
602bcbd3e9bb5f9cbb3266a4bd575ab0,Commercial,Manufacturing,Consumer Products Manufacturing,UNITED STATES,2471,TRUE
885cda2831da37c87cb852070199e67f,Commercial,Manufacturing,Consumer Products Manufacturing,GERMANY,23898,FALSE
62342bb258a5214e9c7a22cd87103f9d,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,USA,52647,FALSE
a0d168636f1700ab58a198ca62fc40b9,Enterprise,Government,Federal/Central Government,UNITED STATES,4187,FALSE
d7a634f34905eecd1ee2dfca9fd28d79,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",UNITED STATES,3780,FALSE
b2daffd2f6df5e13fd599a06a1ea3dda,Commercial,Manufacturing,Discrete Manufacturing,GERMANY,4254,FALSE
174129fd27f5b10f0b3338b7c0bf6a33,Commercial,Manufacturing,Discrete Manufacturing,UNITED STATES,5023,FALSE
d281ad3f94b0ab9effbc0e318be47b88,Enterprise,Manufacturing,Consumer Products Manufacturing,FRANCE,4396,FALSE
11b95cac7864575b13a36a97d2d5eb27,Commercial,Manufacturing,Consumer Products Manufacturing,UNITED STATES,22888,FALSE
b9aa7848f53d4db12c57ea3292c2edc6,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED KINGDOM,33290,FALSE
e3496cbcfc77f960da09dd50b47f80f0,Commercial,Wholesale/Distribution,Wholesale/Distribution,GERMANY,7781,FALSE
a9830a20419fa526e80aff2b7f7f184a,Commercial,Wholesale/Distribution,Wholesale/Distribution,GERMANY,142985,FALSE
e20e7bdb8da70ad0ec4ebc91c23926fe,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,17005,TRUE
b1267e982e465604ef08e4fcef72260a,Commercial,Professional Services,Construction/Engineering,MEXICO,140112,FALSE
4076b3a9a8fbfbd1086d51812476fd11,Commercial,Professional Services,Construction/Engineering,UNITED STATES,249316,TRUE
3578647b6fb04f88217b04cea06a72da,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,146534,FALSE
c75aa40de4c6ab2f49111ffc37d10b18,Commercial,Professional Services,Consulting Non-Technical,CHINA,100312,FALSE
a15979d220b04ff4971f17e8fc3b627d,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,1568,TRUE
44bfcdffd783431a6c32b2d62949d729,Commercial,Professional Services,Membership organizations,UNITED STATES,91736,TRUE
c96eec312c8032bc8dc42e438e35d0ed,Commercial,Professional Services,Membership organizations,UNITED STATES,1967457,FALSE
82b20c2060e332e1e291bb91baf2e3e6,Enterprise,Government,Federal/Central Government,ITALY,2880,TRUE
ccc6e3eeb35b17f4274c3abb6d43d706,Commercial,Technical Services,Other (Technical Services),UNITED STATES,164537,TRUE
a7a03f37eba59e24e6d5cd5640e7cab1,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,UNITED KINGDOM,11877,TRUE
d736769134222c6d2908e7f86e421b2b,Commercial,Technical Services,Other (Technical Services),UNITED STATES,21830,FALSE
c4db3744a88fed69f0c8ac100544fe79,Commercial,Technical Services,Other (Technical Services),INDIA,79872,FALSE
a0ce33ab825796a3ebb35a4791683900,Commercial,Technical Services,Other (Technical Services),UNITED KINGDOM,11526,FALSE
d65573e78b50ce6756bb79a844566d58,Commercial,Retail,Other (Retail),UNITED KINGDOM,157612,TRUE
eb887e83d1f15a1a033ebba0c0d16061,Enterprise,Technical Services,Other (Technical Services),AUSTRALIA,1911,FALSE
b281a6d5d0c653909cc507892dccad0d,Commercial,Technical Services,Other (Technical Services),UNITED KINGDOM,14312,FALSE
1041888af687125d6c61476a137d6b25,Commercial,Technical Services,Other (Technical Services),GERMANY,221672,FALSE
65fa6c40e37a6c2f8a2e5548d0099c7d,Commercial,Professional Services,Other (Professional Services),INDIA,16437,TRUE
08b9be13abcf90d21b9545d04d4ccee1,Commercial,Professional Services,Other (Professional Services),UNITED KINGDOM,32654,TRUE
5e8265f8e873ce0e9abf43801c22d5c3,Commercial,Professional Services,Other (Professional Services),USA,26865,FALSE
ada28320203298e2d7f1540368a8dab5,Enterprise,Retail,Other (Retail),JAPAN,11810,FALSE
789e6e389522d0fd97bc5407315e629d,Commercial,Manufacturing,Consumer Products Manufacturing,INDIA,79120,TRUE
8f28c7588137577404da5eb04133fdeb,Commercial,Manufacturing,Consumer Products Manufacturing,UNITED KINGDOM,5306,FALSE
06d75dbb9e586e2e847429d7d68f89af,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,UNITED STATES,1943,FALSE
4afda46602c45ea3e235a475245ccbd9,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,GERMANY,39211,FALSE
465c8dc24ff58129be2fee423edc9d77,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",GERMANY,2846,TRUE
68a8cee72176dbe7d6b4d7be3dbd98d0,Enterprise,Manufacturing,Discrete Manufacturing,UNITED STATES,1683,FALSE
2177195f43cd9a697686bc1575ba696d,Commercial,Manufacturing,Discrete Manufacturing,JAPAN,590985,TRUE
90dab25dfa315777b5af01a67c2b5c3b,Commercial,Professional Services,Other (Professional Services),GERMANY,24641,TRUE
5b48cb220d518fd05370281464c586cf,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,11274,FALSE
f480904fd1eb84f7856c8122bd9e508e,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,3308,FALSE
af8a2b3c79c9c65912d7ffd6cbc32d0c,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,40473,TRUE
c61a3aaf7976a309f50631447303ef0d,Commercial,Wholesale/Distribution,Wholesale/Distribution,UNITED STATES,747011,TRUE
f8fe3ada066b76b0c23d42dd4df34d3e,Commercial,Wholesale/Distribution,Wholesale/Distribution,FRANCE,37465,TRUE
00f1640b5361627dd7ce83b6dbb823af,Enterprise,Professional Services,Construction/Engineering,BRAZIL,7947,FALSE
3a3711d5de286310a9aa5b23d50743f4,Commercial,Professional Services,Construction/Engineering,UNITED KINGDOM,4906,TRUE
78a279e4c901a07e7563357e77fea702,Commercial,Professional Services,Construction/Engineering,JAPAN,4087,TRUE
d496336abbfeea8b79d77922f61897ba,Enterprise,Retail,"Consumer Services(dry cleaners,video rental,etc)",UNITED STATES,177863,FALSE
204810b5c43d450d22fb08f0aea91e7d,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,10198,FALSE
554b480e648d62334bcb21e765ea47fb,Commercial,Financial Services,"Other (Credit Card, mortgage, financing, etc.)",ITALY,57162,TRUE
1ab4ebb8ddfe01d587a2bb7cf51bd637,Commercial,Professional Services,Membership organizations,UNITED STATES,39966,TRUE
6840fe621d3fc2ce2e2e103bca9ffd59,Commercial,Government,Federal/Central Government,AUSTRALIA,37917,FALSE
f4076010d633ff9e3ddc99d0d327bc10,Enterprise,Government,Federal/Central Government,UNITED STATES,22221,FALSE
266d73b4d5b52f3d4f8a34d1637ec612,Commercial,Professional Services,Consulting Non-Technical,UNITED STATES,7380,FALSE
2f818318104267349b5e3e613ed770da,Commercial,Technical Services,Other (Technical Services),UNITED STATES,110071,TRUE
e8f6ca62e901a235d9d3eb1e6cbb7ba9,Commercial,Technical Services,Other (Technical Services),UNITED STATES,499742,TRUE
d74b67275976a9a1973d2e549344b244,Commercial,Technical Services,Other (Technical Services),UNITED STATES,168438,TRUE
062cfb51c792791180773e3b667cafb4,Commercial,Technical Services,Other (Technical Services),UNITED STATES,1378,TRUE
b4f72c71bdefecf9252366521e8aef3f,Commercial,Technical Services,Other (Technical Services),MEXICO,28432,TRUE
f549c295100366b0b66a949402b1ef9d,Commercial,Technical Services,Other (Technical Services),GERMANY,-1359871,TRUE
bc59546ed308b8d1d5d1f128977214ee,Commercial,Technical Services,Other (Technical Services),INDIA,15540,TRUE
367d6591f5db32a1b56811af54f88c14,Commercial,Professional Services,Other (Professional Services),UNITED STATES,21097,FALSE
f3957f83c7455e54d80a689242be8d28,Commercial,Professional Services,Real Estate,USA,2361,FALSE
38866b6cd7138e37dfed095b68b80d5f,Commercial,Professional Services,Other (Professional Services),UNITED STATES,65225,FALSE
60f5d0926a756366ba2ec70ae8220eca,Commercial,Manufacturing,Consumer Products Manufacturing,INDIA,2087,TRUE
f7c772637e683d5d1ef17f70ea88f9b6,Commercial,Manufacturing,Consumer Products Manufacturing,UNITED STATES,116634,FALSE
189cd12eb881c48cca3b5a5e2ae929cc,Enterprise,Manufacturing,Hi-tech/Computers Manufacturing,CHINA,5988,FALSE
1c96dfb5f5adfc1e7ad793ded10852cb,Commercial,Manufacturing,Hi-tech/Computers Manufacturing,DEUTSCHLAND,18730,FALSE
75b587fb5a21c65a7b8d17fc602eddd0,Enterprise,Retail,"Consumer Services(dry cleaners,video rental,etc)",UNITED STATES,2082,FALSE
0d6d66fc6b8bc5eb0ab3392a5a7d102d,Commercial,Retail,"Consumer Services(dry cleaners,video rental,etc)",UNITED STATES,25853,FALSE
b52c981bbdd548125a1ba2eb22e7aba5,Commercial,Retail,"Consumer Services(dry cleaners,video rental,etc)",UNITED STATES,91844,FALSE
2b6d1529c7fd97dfb67c6505aa7a21d1,Enterprise,Government,Federal/Central Government,CHINA,26562,FALSE
